taxonID;name
224930;Ranunculus polyanthemos subsp. x polyanthemoides
224932;Ranunculus polyanthemos subsp. polyanthemos
222916;Ranunculus pygmaeus
222917;Ranunculus repens
1367;Ranunculus sardous
222920;Ranunculus sceleratus
264437;Ranunculus subborealis
224917;Ranunculus subborealis subsp. pumilus
224916;Ranunculus subborealis subsp. subborealis
1368;Ranunculus sulphureus
222924;Thalictrum alpinum
222927;Thalictrum flavum
222928;Thalictrum minus
224935;Thalictrum minus subsp. arenarium
224936;Thalictrum minus subsp. minus
222929;Thalictrum simplex
224937;Thalictrum simplex subsp. boreale
224938;Thalictrum simplex subsp. simplex
2076;Thalictrum simplex subsp. tenuifolium
264439;Thalictrum venulosum
222931;Trollius europaeus
219638;Boykinia richardsonii
223382;Micranthes foliolosa
223387;Micranthes nivalis
223393;Micranthes stellaris
223394;Micranthes tenuis
223377;Saxifraga adscendens
223378;Saxifraga aizoides
223379;Saxifraga cernua
223380;Saxifraga cespitosa
223383;Saxifraga granulata
1934;Saxifraga × opdalensis
1449;Saxifraga osloënsis
223395;Saxifraga tridactylites
1875;Crassula aquatica
223407;Petrosedum rupestre
223397;Sedum acre
223398;Sedum album
223400;Sedum annuum
223408;Sedum sexangulare
219628;Anthyllis vulneraria
232477;Anthyllis vulneraria subsp. carpatica
224114;Anthyllis vulneraria var. pseudovulneraria
224115;Anthyllis vulneraria subsp. lapponica
224118;Anthyllis vulneraria subsp. vulneraria
224119;Anthyllis vulneraria var. coccinea
224120;Anthyllis vulneraria var. vulneraria
221165;Astragalus alpinus
224121;Astragalus alpinus var. alpinus
224122;Astragalus alpinus var. arcticus
114;Astragalus arenarius
115;Astragalus danicus
221171;Astragalus frigidus
221172;Astragalus glycyphyllos
221173;Astragalus norvegicus
221192;Cytisus scoparius
690;Genista anglica
691;Genista germanica
692;Genista pilosa
693;Genista tinctoria
224123;Genista tinctoria subsp. elatior
224124;Genista tinctoria subsp. tinctoria
776;Hippocrepis emerus
264450;Hippocrepis emerus subsp. emerus
