taxonID;name;vernacular;Observationer
255356;Zaplethocornia procurator;;10
255452;Enizemum nigricorne;;10
255477;Homotropus pectoralis;;10
260702;Coelichneumon opulentus;;10
260711;Protichneumon fusorius;;10
260786;Diphyus longigena;;10
260907;Ichneumon stigmatorius;;10
260984;Notosemus bohemani;;10
260537;Dicaelotus punctiventris;;10
260558;Herpestomus brunnicornis;;10
260986;Apaeleticus bellicosus;;10
260990;Asthenolabus latiscapus;;10
261022;Platylabus ruficoxatus;;10
6045576;Ophion broadi;;10
6045577;Ophion brocki;;10
6045584;Ophion matti;;10
6045586;Ophion paraparvulus;;10
255735;Gnathochorisis crassulus;;10
255817;Proclitus comes;;10
255821;Proclitus praetor;;10
254592;Aclastus micator;;10
254713;Gelis alopecosae;;10
254735;Gelis kiesenwetteri;;10
256008;Poemenia collaris;;10
6003866;Phrudus defectus;;10
256307;Cladeutes discedens;;10
256196;Phytodietus polyzonias;;10
256197;Phytodietus variegatus;;10
256234;Erromenus punctatus;;10
256264;Tryphon brunniventris;;10
256300;Xorides indicatorius;;10
252050;Ceratacis cochleata;;10
251994;Euxestonotus error;;10
252083;Platygaster lysicles;;10
252156;Baeus seminulum;;10
242318;Conioscinella mimula;;10
6007986;Chamaepsila unilineata;;10
239982;Dolichopus calinotus;;10
240046;Dolichopus ruthei;;10
6037460;Medetera alpicola;;10
239939;Campsicnemus femoratus;;10
239722;Empis opaca;;10
239766;Hilara coracina;;10
239801;Hilara pilipes;;10
239808;Hilara quadrula;;10
239838;Rhamphomyia breviventris;;10
239850;Rhamphomyia dorsata;;10
239865;Rhamphomyia ignobilis;;10
239875;Rhamphomyia modesta;;10
6005205;Platypalpus australominutus;;10
239598;Platypalpus laestadianorum;;10
6051163;Platypalpus pygialis;;10
239643;Platypalpus vividus;;10
242473;Diastata flavicosta;;10
240459;Drosophila montana;;10
242504;Ephydra macellaria alandica;;10
242647;Teichomyza fusca;;10
242694;Botanophila dissecta;;10
242943;Paradelia intersecta;;10
242986;Pegomya pulchripes;;10
243044;Zaphne frontata;;10
243050;Zaphne nuda;;10
243288;Hydrotaea scambus;;10
243293;Limnophora maculosa;;10
6053502;Lispocephala vitripennis;;10
