Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
106037;5913;Prasocuris hannoveriana;kabblekebagge;Art;42;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
244175;5941;Oulema septentrionis;mannagräsbagge;Art;45;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
101154;5954;Labidostomis humeralis;fläcksäckbagge;Art;106;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101155;5956;Labidostomis longimana;långarmssäckbagge;Art;412;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2b(iii)
101156;5958;Labidostomis tridentata;tandsäckbagge;Art;68;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
100737;5966;Cryptocephalus androgyne;blå fallbagge;Art;17;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(iii)
100734;5967;Cryptocephalus aureolus;grön fallbagge;Art;47;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100736;5970;Cryptocephalus bilineatus;röllikefallbagge;Art;128;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2ab(iii)
100738;5973;Cryptocephalus cordiger;hjärtfallbagge;Art;112;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
100739;5974;Cryptocephalus coryli;röd fallbagge;Art;129;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
100741;5977;Cryptocephalus distinguendus;skulderfläckig fallbagge;Art;211;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse;NT;B2ab(iii)
100742;5979;Cryptocephalus elongatus;alvarfallbagge;Art;47;Jordbrukslandskap (J) - Stor betydelse;VU;B1ab(iii)+2ab(iii)
100743;5980;Cryptocephalus exiguus;madfallbagge;Art;14;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;VU;B2ab(iii)
106005;5985;Cryptocephalus hypochoeridis;smaragdfallbagge;Art;437;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
106013;5995;Cryptocephalus pallifrons;bläsfallbagge;Art;39;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;VU;B2ab(iii)
212587;6018;Donacia antiqua;bronsrörbock;Art;25;Sötvatten (L) - Stor betydelse;NT;B2b(iii)
100853;6039;Donacia tomentosa;blomvassbock;Art;39;Sötvatten (L) - Stor betydelse;VU;B2ab(iii)
105990;6054;Plateumaris rustica;matt starrbock;Art;377;Våtmark (V) - Stor betydelse, Sötvatten (L) - Har betydelse;NT;B2b(iii)
212751;6074;Galeruca interrupta;;Art;66;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
106076;6075;Galeruca jucunda;;Art;100;Jordbrukslandskap (J) - Stor betydelse;NT;B2ab(iii)
100986;6076;Galeruca laticollis;;Art;88;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100987;6077;Galeruca melanocephala;;Art;10;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;VU;B1ab(iii)+2ab(iii)
106018;6124;Oomorphus concolor;murgrönebagge;Art;52;Skog (S) - Stor betydelse;NT;B2a
102319;6149;Opilo domesticus;husbockslejon;Art;36;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse;EN;B2ab(iii)
101463;6150;Opilo mollis;;Art;386;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
